Init grid...
Init data:
  - allocate memory...
  - init start data...
  - init gaussian points...
     100 | time:  9.99999046e-03 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     200 | time:  1.99999735e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     300 | time:  2.99999565e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     400 | time:  4.00001034e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     500 | time:  5.00002727e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     600 | time:  6.00004420e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     700 | time:  7.00006112e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     800 | time:  8.00007805e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
     900 | time:  9.00009498e-02 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1000 | time:  1.00001119e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1100 | time:  1.10001288e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1200 | time:  1.20001458e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1300 | time:  1.30001619e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1400 | time:  1.40001789e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1500 | time:  1.50001958e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1600 | time:  1.60002127e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1700 | time:  1.70002297e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1800 | time:  1.80002466e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    1900 | time:  1.90002635e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
    2000 | time:  2.00002804e-01 | U:  0.00000000e+00 | WX:  0.00000000e+00 | WY:  0.00000000e+00 |
